name;core;cpu;generation;performance;ram/size;ram/unit;pci/gpu;gpu_model_name;pci/eth;max_nics;max_ips;io_optimized;volume_type;storage/number;ephemerals_type;storage/size;storage/unit;storage_bandwidth/size;storage_bandwidth/unit;architecture
r4.8xlarge;32;;4;2;250;GiB;;;;8;30;;;;;;;;;x86_64
r4.large;2;;4;2;16;GiB;;;;3;10;;;;;;;;;x86_64
r4.xlarge;4;;4;2;31;GiB;;;;4;15;;;;;;;;;i386,x86_64
t1.micro;1;;1;3;1;GiB;;;;2;2;;;;;;;;;x86_64
t2.large;2;;2;3;8;GiB;;;;3;6;;;;;;;;;i386,x86_64
t2.medium;2;;2;3;4;GiB;;;;3;6;;;;;;;;;x86_64
t2.micro;1;;2;3;1;GiB;;;;2;2;;;;;;;;;i386,x86_64
t2.nano;1;;2;3;1;GiB;;;;2;2;;;;;;;;;x86_64
t2.small;1;;2;3;2;GiB;;;;2;4;;;;;;;;;x86_64
hi1.xlarge;4;;3;1;430;GiB;;;;4;15;;;;;;;;;x86_64
